From Date,To Date,PM2.5,PM10,NO2,NOx,SO2,CO,Ozone,NH3
17-01-2024 13:00,17-01-2024 14:00,193.25,255.25,19.72,20.52,15.15,0.98,25.65,23.17
29-02-2024 10:00,29-02-2024 11:00,87.0,162.5,46.95,34.52,16.52,1.29,44.25,20.55
08-05-2024 16:00,08-05-2024 17:00,90.0,128.5,56.83,32.38,14.8,1.2,53.5,9.1
27-05-2024 05:00,27-05-2024 06:00,91.0,106.75,66.02,47.08,4.42,1.39,,18.53
28-08-2024 15:00,28-08-2024 16:00,23.25,30.0,54.73,59.58,9.88,1.19,14.0,31.48
12-01-2024 02:00,12-01-2024 03:00,126.0,201.0,26.43,27.12,17.75,1.38,18.1,33.88
25-02-2024 21:00,25-02-2024 22:00,103.75,211.5,100.05,64.97,11.38,2.73,11.75,33.4
24-04-2024 21:00,24-04-2024 22:00,64.0,151.5,67.22,51.73,21.42,1.94,10.3,10.57
19-09-2024 21:00,19-09-2024 22:00,32.5,62.5,107.65,92.57,11.15,2.13,14.18,12.6
28-06-2024 18:00,28-06-2024 19:00,47.75,115.0,9.3,16.45,12.25,2.22,20.65,16.2
15-02-2024 17:00,15-02-2024 18:00,94.5,149.0,4.62,19.45,28.2,1.0,78.95,2.35
26-12-2024 20:00,26-12-2024 21:00,237.0,342.25,278.62,191.9,24.52,4.59,16.1,100.3
04-06-2024 11:00,04-06-2024 12:00,118.0,143.25,56.65,37.62,12.12,1.16,84.65,24.43
03-11-2024 16:00,03-11-2024 17:00,112.25,157.25,97.27,64.83,10.0,1.18,32.58,15.07
04-02-2024 06:00,04-02-2024 07:00,82.0,95.75,75.1,67.25,28.42,0.77,21.42,25.05
13-04-2024 16:00,13-04-2024 17:00,45.75,123.25,121.95,80.55,6.38,0.67,22.45,23.32
16-01-2024 13:00,16-01-2024 14:00,273.0,326.25,23.2,23.98,16.25,1.87,20.95,30.67
07-07-2024 08:00,07-07-2024 09:00,8.5,14.0,13.2,20.25,13.0,0.98,35.67,18.25
17-02-2024 09:00,17-02-2024 10:00,178.25,263.75,38.92,41.18,31.98,1.32,18.6,20.23
04-05-2024 01:00,04-05-2024 02:00,98.0,181.0,57.67,40.53,17.83,1.37,18.1,22.07
14-05-2024 16:00,14-05-2024 17:00,65.0,88.0,,,8.4,0.44,67.1,
18-12-2024 21:00,18-12-2024 22:00,427.75,547.0,,393.2,31.77,6.03,6.12,67.1
20-03-2024 04:00,20-03-2024 05:00,155.5,263.75,184.27,114.55,9.82,2.23,11.73,39.67
03-02-2024 03:00,03-02-2024 04:00,53.25,66.75,6.05,17.35,13.18,0.26,24.03,14.0
05-08-2024 22:00,05-08-2024 23:00,29.0,34.0,60.0,39.62,11.65,1.26,46.32,37.93
11-08-2024 00:00,11-08-2024 01:00,29.25,37.75,89.72,89.25,10.72,1.81,7.5,30.77
11-06-2024 08:00,11-06-2024 09:00,152.25,209.5,51.83,34.38,30.77,1.01,35.1,26.1
04-08-2024 07:00,04-08-2024 08:00,14.5,16.5,70.9,46.23,14.88,0.96,47.0,51.25
06-07-2024 23:00,07-07-2024 00:00,6.33,16.33,10.43,18.6,8.03,1.11,23.93,16.83
19-02-2024 08:00,19-02-2024 09:00,118.5,199.5,29.17,36.5,7.43,1.2,16.9,16.67
05-09-2024 11:00,05-09-2024 12:00,23.5,29.75,57.33,61.52,16.52,0.79,24.57,30.43
18-05-2024 19:00,18-05-2024 20:00,89.5,123.0,37.95,30.88,9.1,1.03,18.43,26.53
25-07-2024 00:00,25-07-2024 01:00,85.75,121.5,106.13,64.43,9.77,1.66,32.52,111.77
26-01-2024 07:00,26-01-2024 08:00,180.25,253.0,123.43,95.4,17.27,1.77,26.62,35.8
27-04-2024 09:00,27-04-2024 10:00,52.5,244.25,10.4,10.48,13.43,0.72,50.65,4.15
08-11-2024 17:00,08-11-2024 18:00,162.0,180.0,58.98,58.65,3.22,2.97,27.2,23.0
23-11-2024 00:00,23-11-2024 01:00,262.5,352.25,327.7,207.08,7.97,4.71,15.18,45.78
25-09-2024 06:00,25-09-2024 07:00,100.75,142.25,205.23,168.07,7.58,2.21,4.0,4.57
21-12-2024 20:00,21-12-2024 21:00,245.0,350.0,,404.42,22.45,5.69,6.53,69.75
12-12-2024 07:00,12-12-2024 08:00,179.75,241.25,213.47,132.32,1.27,1.5,5.88,34.9
21-06-2024 13:00,21-06-2024 14:00,45.0,79.75,60.98,42.82,19.2,1.39,63.67,19.68
31-08-2024 03:00,31-08-2024 04:00,32.75,40.5,33.72,47.17,9.5,0.62,9.0,33.83
17-09-2024 22:00,17-09-2024 23:00,30.25,41.5,144.88,116.05,19.32,2.31,10.45,15.57
19-10-2024 10:00,19-10-2024 11:00,172.25,275.25,80.33,61.62,16.0,1.69,4.5,58.23
30-01-2024 00:00,30-01-2024 01:00,264.5,308.0,86.25,74.53,24.35,0.89,25.85,42.08
17-12-2024 17:00,17-12-2024 18:00,261.5,350.5,265.97,159.93,22.12,3.01,6.45,37.77
08-01-2024 00:00,08-01-2024 01:00,99.75,179.75,19.07,22.12,7.53,0.51,10.0,26.9
20-02-2024 07:00,20-02-2024 08:00,161.25,213.0,46.2,49.83,8.83,1.85,18.55,20.38
13-01-2024 14:00,13-01-2024 15:00,446.0,587.25,24.87,24.25,12.23,3.31,22.13,36.62
02-11-2024 06:00,02-11-2024 07:00,124.75,161.75,204.93,134.6,13.33,1.46,9.12,17.6
08-06-2024 20:00,08-06-2024 21:00,58.25,80.0,47.55,31.72,6.1,0.97,18.43,27.62
23-05-2024 20:00,23-05-2024 21:00,69.0,88.0,70.25,48.9,6.97,1.09,9.7,16.32
06-07-2024 02:00,06-07-2024 03:00,20.25,30.5,11.57,18.03,24.02,0.9,19.7,17.12
03-06-2024 07:00,03-06-2024 08:00,53.75,64.75,54.92,36.15,4.08,0.71,11.98,26.65
15-05-2024 21:00,15-05-2024 22:00,124.75,169.5,182.4,110.72,12.53,5.64,,4.6
14-10-2024 03:00,14-10-2024 04:00,109.75,187.25,161.22,131.6,10.38,3.33,9.03,130.0
03-09-2024 04:00,03-09-2024 05:00,22.5,30.0,45.6,51.77,6.68,0.6,15.77,34.67
10-01-2024 14:00,10-01-2024 15:00,122.0,190.75,,,9.0,1.4,74.85,
04-01-2024 10:00,04-01-2024 11:00,248.0,344.75,20.92,21.95,25.4,1.72,15.9,26.25
08-04-2024 12:00,08-04-2024 13:00,37.25,55.0,96.92,62.9,11.95,0.57,64.68,22.65
07-09-2024 12:00,07-09-2024 13:00,20.25,31.5,51.57,55.38,20.43,0.82,28.52,29.48
05-04-2024 06:00,05-04-2024 07:00,66.25,88.75,63.9,43.9,,0.9,19.93,20.77
06-02-2024 09:00,06-02-2024 10:00,78.5,103.5,36.65,38.58,20.07,1.05,22.95,14.62
12-07-2024 20:00,12-07-2024 21:00,31.0,72.5,,,,,,
10-12-2024 10:00,10-12-2024 11:00,140.75,203.0,95.83,63.9,20.83,1.14,18.6,24.82
30-10-2024 16:00,30-10-2024 17:00,83.25,157.0,89.53,63.77,16.73,1.1,18.43,14.4
12-03-2024 02:00,12-03-2024 03:00,114.5,187.75,83.05,56.17,9.35,1.38,11.65,24.82
22-11-2024 12:00,22-11-2024 13:00,257.5,346.25,60.58,47.1,11.62,1.42,68.53,20.38
30-09-2024 09:00,30-09-2024 10:00,77.25,116.75,60.77,61.1,3.83,1.01,9.8,20.77
24-01-2024 07:00,24-01-2024 08:00,126.75,182.75,36.2,36.52,1.12,1.38,25.97,23.5
21-12-2024 00:00,21-12-2024 01:00,196.5,247.5,157.25,99.53,18.1,1.48,5.38,28.62
17-03-2024 10:00,17-03-2024 11:00,86.5,152.5,35.4,27.82,25.12,0.78,56.45,12.72
18-05-2024 21:00,18-05-2024 22:00,117.25,157.75,43.22,34.27,20.65,1.36,2.77,22.87
09-09-2024 07:00,09-09-2024 08:00,44.25,60.75,49.48,57.53,12.8,1.08,17.4,27.25
22-11-2024 00:00,22-11-2024 01:00,233.75,310.75,180.62,118.5,5.08,3.19,16.08,28.27
30-04-2024 11:00,30-04-2024 12:00,45.5,137.25,46.88,36.45,16.28,0.69,74.42,14.78
27-09-2024 23:00,28-09-2024 00:00,12.33,19.0,60.0,61.0,5.93,0.66,3.33,28.0
